,year,median
1,1989,31
2,1990,32
3,1991,30
4,1992,29
5,1993,30
6,1994,30
7,1995,33
8,1996,34
9,1997,34
10,1998,37
11,1999,37
12,2000,39
13,2001,37
14,2002,35
15,2003,37
16,2004,38
17,2005,38
18,2006,39
19,2007,40
20,2008,41
